tag,Yuzuki Choco,Shiranui Flare,Amane Kanata,Himemori Luna,Robocosan,Takanashi Kiara,Regis Altare,Nekomata Okayu,Ninomae Ina'nis,La+ Darknesss,Nakiri Ayame,Hakos Baelz,Hanasaki Miyabi,Moona Hoshinova,Omaru Polka,Usada Pekora,Yatogami Fuma,Kaela Kovalskia,Mori Calliope,Tokoyami Towa,Hakui Koyori,Axel Syrios,Yukihana Lamy,Shirakami Fubuki,Oozora Subaru,Kazama Iroha,Airani Iofifteen,Tsunomaki Watame,Kureiji Ollie,Ouro Kronii,Aragami Oga,Kanade Izuru,Pavolia Reine,Utsugi Uyu,Kobo Kanaeru,IRyS,Inugami Korone,Yukoku Roberu,Houshou Marine,Arurandeisu,Aki Rosenthal,Astel Leda,Hoshimachi Suisei,Momosuzu Nene,Vestia Zeta,Anya Melfissa,Sakura Miko,Takane Lui,Shishiro Botan,Ookami Mio,Ayunda Risu,Rikka,Shirogane Noel,Minase Rio,Kishido Temma,Kageyama Shien,Natsuiro Matsuri,Tokino Sora,AZKi
2d,1.0352669422971499e-17,8.416750134241694e-12,5.47704368212279e-19,0.0001429848151394235,8.531593201315497e-06,1.3940563197477399e-09,2.6544608737001557e-06,0.0005647585004968925,1.703413539360649e-21,0.0,1.7247802449646192e-19,1.6532296379621776e-09,2.488899593171763e-22,1.2444836423750522e-08,4.028744484171055e-07,5.716685253349535e-11,0.0,1.3621547036753113e-08,7.345550023202538e-06,0.0001260218721666712,4.565024657447771e-17,0.003445591224553789,1.2736668073307156e-18,0.008389169395655793,1.7751188356996949e-12,0.0,0.03116748909094393,4.507138111988202e-19,4.803932133928942e-07,1.9262386324088148e-06,2.4469915791154026e-21,0.009781111416387444,1.3675248792696546e-09,6.26272460318689e-12,0.014035193287137527,4.503710095851563e-14,6.561813046455113e-11,1.1112922466462637e-18,9.495862103487501e-17,0.0005760926603923085,0.0,7.162251785466729e-07,0.0,8.718551379420712e-05,0.00021526137725673904,2.90115811932605e-18,0.013405164673399453,4.7316176176533875e-12,1.9698698083929432e-17,3.322376943689846e-18,0.022137073180858783,1.644400331197939e-23,0.000115990192268177,1.891985941751885e-24,4.590803162643553e-05,1.6387328507095815e-05,0.0,9.706331093720554e-07,8.935753149935024e-07
2d platformer,0.0,0.0,0.0,0.0,0.0,1.3940496282957058e-09,0.0,0.0,0.0,0.0,0.0,1.6532296372389298e-09,3.868424860504835e-24,0.0,0.0,4.661377070885014e-12,0.0,2.8296059003163635e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2833054267941612e-15,5.351050899508826e-14,0.0,0.0,0.0,0.0,0.0,6.2627245680981185e-12,0.0,0.0,0.0,0.0,0.0,6.757313169015916e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.1233561861048318e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5342180133672786e-07,0.0
3d,0.06736185483151796,0.014297963964823883,0.006850632029734015,0.005588161554647812,0.0005255295727038466,0.005601635710125956,0.0009691673293092899,0.000464294291532549,0.013821433074200135,2.2928295848395465e-06,0.03499874445008046,0.00852491953143862,0.012915593700327369,0.041351200485535256,0.020229827136923874,9.340951622893059e-06,0.04001724694455951,0.0010253212885787293,0.000867302711508643,0.017159490258546156,0.0005785567593839226,0.002003804977797077,9.201412677392002e-05,0.014043560100653404,8.124556709502206e-07,0.0027737741137476082,0.0019511481860274482,0.007289525484721182,0.01302393970483977,0.01647504167203824,1.7574049564737918e-09,0.0015494930531016148,0.006249567279130199,0.000791709909791452,1.6826110360542948e-09,0.00010878182944600189,0.010661781797890893,0.04516966170872481,0.04890319787267956,0.00645817798865183,0.009521324953676564,1.1963969850196017e-05,0.019353460872715937,0.0003076474580921042,0.018947937323537972,0.0054600159167160186,4.8300734243994254e-05,0.006328721315648877,0.0008874739063738094,3.743655513721257e-05,5.154195843147058e-06,0.01467537563150608,0.0015811487466074522,0.0021501070217171915,0.007229466005145896,0.00039850576892636047,0.009882040032200586,1.7208528670570087e-10,0.008687860580300666
3d platform,0.0,0.003636846937179207,0.00133020751716638,0.0,0.0005252421849818711,7.960227931703019e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.5741739279801653e-05,0.0,0.004531217167287224,4.1528728812906906e-06,0.01896393884617849,0.0009532973816510838,0.0,9.309447134854938e-06,3.8961107754943906e-05,1.201143653741395e-05,8.249518249870633e-05,0.0028821705669139514,5.007524934395011e-07,0.0,0.0,0.0005065395857014452,0.006545903976459865,3.98112423211275e-05,0.0,0.0,3.6886006903215666e-06,0.0,0.0,6.477452367664969e-05,0.0,3.943133828291933e-05,0.00012168832526415416,0.0004363186876984632,3.981824238190336e-05,0.0,0.0,0.00011194841567874076,0.0,0.0004463341192110262,1.054846579662658e-06,0.0,5.4126272237424915e-05,3.934010376960743e-06,4.329995785665635e-06,1.4540986793936905e-06,0.0015284208072557652,3.857112170861278e-05,0.0,0.0,0.00029373736015863634,0.0,1.996303083841707e-05
4 player co-op,1.192152871230151e-15,3.6560987399274257e-16,9.884231998090365e-17,2.7632186084360342e-12,0.0018136140540419717,1.593461843368853e-17,0.0013750424297449015,1.345466276782596e-10,8.091009266931717e-17,0.0,0.04059844910342668,2.262663252130888e-14,1.707025390140368e-17,2.287622400155472e-10,2.6541654331036156e-17,9.87070918396358e-17,2.0221981847989012e-09,1.3544589576784595e-09,5.832316993475945e-15,0.0,1.2795832438741075e-14,0.0062666027226301576,0.0,0.00013827164536354934,0.00018279342223240735,0.0,0.001951148205865042,9.474170799171474e-10,6.563452817573725e-10,1.6345282751633722e-17,0.0,3.816057226360137e-11,1.929015061970684e-10,3.6993512826387113e-13,2.287652994021616e-14,4.522867480533584e-15,2.3172853008494276e-15,2.1232298242966162e-17,0.0,0.0005419309313864821,0.0027991424419054685,1.1260806038342902e-13,1.2754548413284216e-13,0.0,3.362068659578725e-11,9.959111883817163e-05,0.0003850585244264848,2.8996997665835164e-16,3.875035322044256e-18,0.0014360611865626258,5.109426167435567e-12,0.0,0.0,0.0,2.757319892798637e-13,6.075496189386848e-09,0.0,0.0,3.519101590085846e-16
4k ultra hd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007573589594550724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3016521284611145e-21,0.0,0.0,0.0,0.0,0.0002640591885560856,0.0,3.5416540988750094e-21,8.13697025112851e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0371497033464389e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.773253013525362e-05,0.0,0.0,0.0,0.0,8.459455239790344e-21,0.0,0.0,0.0
4x,1.87315816855295e-14,0.002292341839244655,0.012364547160068821,0.01898848790405586,5.139535573000552e-05,0.011845052092677383,0.023867530856950293,0.026809200397950872,0.0002690910969151188,0.025420442732476782,0.0004080891932620476,0.014516863135058048,2.4312621935339354e-09,2.1539403754147484e-07,0.017410674401742505,0.023878977494153887,3.9849209827034004e-10,9.945595348111999e-05,1.0147913860847837e-06,0.004208864232221462,0.02614420916915372,6.651953059043509e-06,0.024499393760893624,0.006186409508499039,0.027110487492623302,0.027311578870737808,2.5697589587900816e-12,0.024791326224499397,0.016744672059530827,2.2154647601310625e-06,0.0,6.292076856587344e-06,1.3014240630230613e-08,0.013215690863422712,1.434965944994191e-12,0.001878582291932474,1.7884356660596324e-05,1.3770733522533153e-08,8.350048996935143e-08,5.056895517236788e-06,0.0020434852920464654,1.1872442582694266e-06,0.02081899714782264,0.027732384670055357,8.2319663931828e-09,0.01831747010295727,0.01671429261054515,0.02353906632154528,0.012559238675118,0.000154101063777073,3.192597335768996e-09,5.742759230453009e-12,3.301601567327069e-05,0.02538020315741748,1.3816196866761345e-09,0.010899894943151233,0.0001567622904452367,0.019880935429506183,0.021897921951356685
60 fps on consoles,1.87315816855295e-14,0.0022923441478065855,0.012364547751455351,0.018997461928615587,5.139653021779312e-05,0.013634646544768545,0.02386760338657874,0.026809200745848676,0.0002690910969151188,0.025420442732476782,0.0004080891932620476,0.014516863135058048,2.4312621935339354e-09,2.2306615468851629e-07,0.017410674401742505,0.023878977664752058,3.9849209827034004e-10,9.945595348198753e-05,1.0147913860847837e-06,0.004208864232221462,0.026144224971370793,9.620282592177736e-06,0.024499395099263317,0.006186410074820512,0.027110487492623302,0.027311578870737808,2.6775140546104093e-09,0.02479132669493691,0.016744672059530827,2.9570441918122294e-05,0.05036469427021043,6.292076856587344e-06,1.2681071469662641e-06,0.013215690863422712,1.434965944994191e-12,0.0018785853834672286,1.7884356660596324e-05,1.3770733522533153e-08,8.350048996935143e-08,5.056895517236788e-06,0.0020434852920464654,1.1872442582694266e-06,0.020818997148053475,0.02773238645635942,1.4326385681872328e-08,0.018317490366494948,0.01671429319396431,0.023539068486611553,0.012559239402203602,0.00015410465113018806,3.192597335768996e-09,5.742759230453009e-12,3.301661199810267e-05,0.025380203157417486,1.3816196866761345e-09,0.010899894943151233,0.0001567622904452367,0.02713130166839824,0.021897923569056465
8-bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.693788000830374e-11,1.034956054117229e-24,0.0,0.0,0.0,0.0,2.606568529124774e-10,1.0618276879023584e-20,0.0,0.0,0.0,0.0,0.0,4.796340780509912e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8585825373182e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0590494632820674e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0694536834970415e-15
a.i. companion,0.0,0.0,0.0,7.84244747705813e-17,0.0,1.8866410129129399e-10,1.90644112376778e-16,1.7572363686732982e-16,0.0,0.0,0.0,8.402940134587761e-19,0.0,1.1852637540112421e-15,0.0,0.0,0.0,8.921032275688333e-15,0.0,0.0,2.6819167482536914e-09,0.013441593271661622,0.0,6.798988734044984e-17,1.688545036411177e-12,0.0,6.912529668303014e-09,0.0,0.0,0.0,0.0,0.00012562875975777432,0.0,3.850741297431903e-18,1.3284288276512773e-21,0.0,0.0,1.6535731334162058e-17,0.0,3.857664580499696e-13,1.8901197130241417e-16,0.00016096562961872941,0.0,0.0,0.0,0.0,0.0,5.625605138606146e-16,0.0,0.0,0.0,4.234448402919509e-12,0.0,3.421214393305903e-07,0.0,0.0,0.0,0.0,0.0
abandoned hospital,4.3398561615946355e-07,0.0,0.0,1.4219569642713905e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.870599260416097e-10,1.0162424513876012e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7860807632866e-10,4.0238476208253716e-08,0.0,0.0,0.0,0.0,0.0,2.7487619579895693e-09,0.0,1.7883420135114006e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstract,0.0,0.00030730252688517066,0.0,0.0,0.0,0.002152699754973949,0.0,0.0004623851507592973,0.010871041690489984,0.0,0.0,0.00852319583159464,0.0,0.0,0.0,4.661377070885014e-12,0.0,3.838089336369566e-10,3.7877778208233056e-23,0.016056268236431373,1.5832181548909053e-17,0.0,0.0,0.0,0.0,0.0,3.2671843406363238e-09,0.000944201003716973,0.0,4.3732253060155786e-14,0.0,0.0,0.006239337743209939,6.2627245680981185e-12,6.388462433999908e-08,0.0,3.7275690234231395e-05,0.0,0.0,6.757313169015916e-12,0.0,0.0,0.0,0.0,0.02050353980303617,0.0049458416704222215,1.1233561861048318e-11,0.004859818025730504,0.0007158951102760436,0.0,0.007447000436756661,0.000299894035287464,0.0,0.0,0.0006749179712249012,0.0,5.9620533765731474e-21,1.557383867014594e-07,0.0
absurd,1.192152871230151e-15,3.6560987399274257e-16,9.884231998090365e-17,2.7456248426135822e-12,5.322170586228885e-13,1.593461843368853e-17,0.0013750424297449015,0.0,8.091009266931717e-17,0.0,0.0,2.262663252130888e-14,1.7070244386613855e-17,2.287622400155472e-10,2.6541654331036156e-17,9.87070918396358e-17,2.0221981847989012e-09,1.3539925216929852e-09,5.832289149703405e-15,0.0,8.79769045775106e-15,0.0062666027226301576,0.0,6.827957712434441e-16,2.202025879353806e-18,0.0,1.9919335256816472e-11,2.5007447872384147e-17,2.9106035621684336e-11,1.6345282751633722e-17,0.0,3.816057226360137e-11,7.82713932799513e-12,3.699351247373892e-13,2.287652994021616e-14,4.522867480533584e-15,3.139904253342342e-16,2.1232298242966162e-17,0.0,0.0005419309313864821,0.0027991424419054685,1.1260806038342902e-13,0.0,0.0,3.3620407755458766e-11,9.959111883816967e-05,2.539155021966833e-17,2.8996997665835164e-16,3.875035322044256e-18,0.0,5.109426167435567e-12,0.0,0.0,0.0,2.7573198927494685e-13,6.075496189386848e-09,0.0,0.0,3.519101590085846e-16
accessibility options,0.0,0.0,0.0,0.0,0.0,0.0076139707963912995,9.714841567103637e-05,0.0,0.03309509207043498,0.0,0.0,0.002197279870197307,0.0003323922467028479,0.002275232053926354,0.0,1.608931842203657e-05,0.0008084108503780977,0.01315601440362278,0.0005945667204053855,0.0,0.0,0.0001552211364403545,0.0,0.0,0.0,0.0,0.0007932776425710575,0.0,0.0003563158236559776,0.004697661211262937,0.0,0.0,0.0,4.7899485679589316e-05,0.0,0.007486916974754931,0.0,0.0,0.0,1.5566400741561296e-05,0.0,0.0,0.0,0.0,0.0018567345575532213,0.00041489448073623247,0.0,0.0,0.0,0.0,0.00020347976574825694,1.4202658942533144e-05,0.0,4.585920047162496e-05,0.0,0.0012696650241810932,0.0,0.0,0.0
achievements,0.0,0.011314789904859698,0.006676531542185201,0.0024527318361794856,0.0005337737781831853,0.0038038380624985436,3.6332179527100014e-11,0.00046238519003524644,0.013752374900171354,0.0,1.7247802449646192e-19,0.00854531503609936,0.006371780560077065,1.5315687003719507e-23,0.0045316200305198446,5.760070345781228e-06,0.01896394096916895,0.0009532973816510838,0.008481948503895494,0.01619159979821996,3.896110886363243e-05,0.0034576026824666485,8.249518249870633e-05,0.011271339975306634,5.007524934395018e-07,3.8778738076170995e-25,3.268309049337489e-09,0.0014507405894185147,0.006545903976469187,4.2409564710315876e-05,0.0,0.009650209824571088,0.006243026344382534,0.0,4.525388639732355e-10,7.537280352875303e-05,0.010355518672391177,3.943133828291933e-05,0.00012168832526415416,0.01050015312383651,0.008511742163738302,7.162251785474376e-07,0.0,0.00024868251936041596,0.018947937313447218,0.005392175789633248,1.054846579662658e-06,0.004859818025730504,0.004583975514004469,3.934010376960743e-06,0.00735914312814906,0.010547938063790155,0.012200881822163417,3.857112170861278e-05,0.0005758735739710666,0.0,0.00029373736015863634,8.1721130625816e-07,1.996303083841707e-05
acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.646436788050847e-17,0.0,2.3884323043291854e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.342197818939641e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acronym titles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.691120558566345e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
