tag,Tokoyami Towa,Mori Calliope,Takane Lui,Ookami Mio,Kageyama Shien,Hakos Baelz,Hoshimachi Suisei,Vestia Zeta,Rikka,Yatogami Fuma,Ayunda Risu,Kazama Iroha,Nakiri Ayame,Tsunomaki Watame,Shiranui Flare,Kishido Temma,Kobo Kanaeru,Astel Leda,Minase Rio,Ninomae Ina'nis,Himemori Luna,Axel Syrios,Inugami Korone,Kanade Izuru,Momosuzu Nene,Hakui Koyori,Pavolia Reine,Moona Hoshinova,Takanashi Kiara,Yuzuki Choco,Shirogane Noel,Oozora Subaru,Shishiro Botan,Nekomata Okayu,Robocosan,Sakura Miko,Anya Melfissa,Aki Rosenthal,Aragami Oga,IRyS,Amane Kanata,Ouro Kronii,Yukoku Roberu,Airani Iofifteen,Yukihana Lamy,Usada Pekora,Arurandeisu,Natsuiro Matsuri,Regis Altare,Shirakami Fubuki,Houshou Marine,Utsugi Uyu,Kaela Kovalskia,Kureiji Ollie,AZKi,Omaru Polka,Tokino Sora,Hanasaki Miyabi,La+ Darknesss
moba,0.0,0.0,0.0,0.0,0.0,4.356056100727917e-18,0.0,0.0,0.0,2.0779378511800834e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.823649243060771e-21,0.001311787109006134,3.072901996147259e-06,0.0,0.0,0.09601048575662019,0.0,0.000522798387407831,0.0,0.0,0.0,1.2325933497414951e-14,1.4693522328736522e-09,0.0,0.0,0.0,2.3974803330079236e-22,0.0,0.0,0.0,0.0,1.109408025483595e-14,0.0,0.0,0.0,0.0,1.9049065042989155e-16,1.3219698485839489e-08,0.0,0.0,5.732336900135034e-12,2.0407650483254832e-14,1.5126252025480278e-15,0.0,0.0,2.4702280095015158e-17,5.915885695392448e-14,0.0,0.0,0.0,0.0,0.0,0.0
modern,2.286096704097154e-14,0.0,0.0004417140127851591,7.656647208157129e-13,1.1032578827136499e-16,5.32049893612949e-18,3.22057050404849e-17,0.0,1.0843205363476534e-18,2.6615489767193196e-13,0.0,2.3417990077822547e-14,0.0,3.821593520521504e-14,2.2676630130856646e-14,1.1276820245247184e-17,5.392497954217002e-09,5.927623694486387e-18,3.283412910396887e-13,8.293181022548252e-17,1.3120998049520218e-16,9.315817430056919e-14,0.0018272727533967781,1.1987141449938112e-18,0.00041749715904931025,0.003572731692625001,1.2421852479588844e-17,1.7288014898975286e-16,3.175618414871552e-17,2.3450403783936854e-13,0.0012845977231489792,1.847287837874147e-14,8.617482862546974e-14,0.0,3.39738160573418e-13,0.0004603020596011272,0.00043213007605804465,1.1184063522174861e-14,2.5937547391964914e-16,1.1733035984625686e-17,0.0006611665461191078,0.0,2.551712137554668e-13,3.474196754690162e-14,5.0673953511976416e-18,1.2253237205446645e-14,1.5136787984809467e-14,0.0026775139631105816,0.0,6.674321136986037e-05,2.674906854100445e-13,1.8194085838057707e-14,0.0,1.11121794487982e-08,0.0004201551045402539,0.00011407950181488259,1.5561709306435858e-09,1.8924177825130814e-13,0.0
mouse only option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021371111859136274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024611136529887466,0.0,0.03314502720004008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03476353962810171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple endings,0.0,4.754280357766268e-10,1.3258107121907095e-22,0.0,0.0,0.009300307546341218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038059209973491837,3.780432893372122e-07,0.0,0.0,0.0,0.001229345848675065,0.0,0.0,0.0,0.0007236282107911907,0.0006208476750656805,0.0,0.0,9.350150676922038e-07,2.16042612002514e-08,0.003250069142432062,3.061072404725192e-16,8.832215596218021e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0390790071383787e-13,0.0,0.0,2.738357649430163e-21,7.184752599305685e-05,0.0,9.346511813651199e-07,1.4787189032688114e-05,0.0,0.0,2.0247135930600975e-19,0.0,0.0,0.0,0.0,6.918625884094694e-06,0.0,3.0327751730094803e-15,0.0,0.0
music,0.0,1.2229794593226285e-07,0.0,6.089798267786105e-21,4.348502318416095e-05,0.0,0.0,1.619141898149981e-24,0.0,0.0,1.807573246009807e-21,0.0,0.0,4.3225720364924886e-23,7.753635612966361e-23,0.0,9.063189391810824e-23,0.0,0.0,7.230867958541427e-22,0.0,0.0,6.6471357281776e-19,0.0,0.0,1.4388972613607577e-17,6.105053351082813e-14,0.0,0.0,0.0,0.0,0.0,0.0,6.52134859351791e-23,0.0,0.0,2.47214930483441e-23,0.0,0.0,0.0,0.0,2.426777816104642e-22,0.0,6.2482502088823095e-09,0.0,0.0,0.0,0.0,2.1061219871673996e-05,1.2182062360522686e-24,0.0,0.0,0.0,2.7469790984507563e-23,0.0,0.0,2.0951877683445545e-08,0.0,1.8457117208778424e-22
mystery,1.7821163318122006e-13,1.0255879302756084e-15,0.000540280436665061,7.656647208221468e-13,5.171751580726807e-05,5.32049893612949e-18,7.403079431174744e-08,0.022166151349273047,5.459446156769095e-05,2.6615489767193196e-13,0.04270056516293347,2.3417990077822547e-14,0.0,3.821593520521504e-14,7.137364590598127e-11,5.0038494436606105e-06,0.06211670181837617,4.690710407458251e-07,1.7251463402505092e-07,8.293181022548252e-17,0.00010565344591757757,2.6414620798517893e-05,0.035036393398168005,2.2676173660884958e-07,0.014243104270868865,0.003572731692958443,0.05611521588428684,9.968081020861994e-09,0.013937705086027376,0.014989950577447324,0.0012845977231489792,4.6661280325192495e-05,0.0013169277448223092,0.00458770242495702,0.0002458924529436921,0.0005738210213496954,0.006862109677325406,1.1184063522174861e-14,0.000415250141820551,4.085788118165177e-08,0.0013562275632511731,0.0001855925179577505,0.00766716088173126,0.05960550747910808,5.06739954890484e-18,2.8006016242167363e-05,8.122849708054551e-05,0.0026775139631105816,0.01027049279907069,0.00016631191159840948,2.674906854100445e-13,1.877242994788834e-14,7.313808102273752e-08,1.1494227874400605e-08,0.0004201551045402539,0.00011445196247389468,0.007926804338282504,8.379071737631246e-05,0.0
mythology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.403649550920623e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.187407242907881e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
narration,0.0,0.0,1.3258107121907095e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.403649550920623e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1431422143629962e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.962228847275751e-13,2.738357649430163e-21,0.0,0.0,3.084423270537168e-23,0.0,6.881490832252283e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nature,0.0,0.0,0.0,6.4338678320899404e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.021371111859158805,0.0,0.0,1.235796362356476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024611136529887466,0.0,0.08434412892855124,0.0,0.0,0.0,1.94425230050448e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15217531983209712,0.0,0.0,6.877028770200697e-10,0.0,3.5614709606725686e-14,0.0,0.0,0.0,0.0,0.0,0.03476353962810171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ninja,0.0,0.0,3.4281615649359483e-22,0.0,5.6855458738475696e-12,0.0,0.0,0.0,0.0,2.458303886689085e-21,0.0,0.0,0.0,0.0,3.4533458540433805e-22,0.0,0.0,0.0,0.0,0.0,7.126879490393154e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.592471464634503e-22,1.6862314050025114e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9894883275510965e-20,0.0,0.0,2.8882494924747007e-22,0.0,6.242747638817837e-21,0.0,0.0,0.0,0.0,0.0,9.95206295822379e-13,0.0,3.712253976119683e-22,0.0,0.0,0.0
